run,R_active,t_to_thr_base,t_to_thr_reset,residual_base,residual_reset
136,nan,0.0,0.0,3.501338569878773,3.501338569878773
137,3.4416913763379853e-15,0.0,0.0,4.9073513464887215,4.891251363945085
138,nan,0.0,0.0,4.197312657008209,4.197312657008209
139,2.7755575615628914e-15,0.0,0.0,4.7687164808418725,4.7622683314461405
140,nan,0.0,0.0,3.921732917870399,3.921732917870399
141,2.886579864025407e-15,0.0,0.0,4.952097505405487,4.930227331584864
142,3.83026943495679e-15,0.0,0.0,4.797726164035483,4.786834431130998
143,nan,0.0,0.0,3.7778070981721754,3.7778070981721754
144,nan,0.0,0.0,3.9439405020905833,3.9439405020905833
145,nan,0.0,0.0,3.6300254455612815,3.6300254455612815
146,nan,0.0,0.0,3.685033027463685,3.685033027463685
147,nan,0.0,0.0,3.9438086276875315,3.9438086276875315
148,nan,0.0,0.0,4.548998667497033,4.548998667497033
149,nan,0.0,0.0,4.046393214308662,4.046393214308662
150,nan,0.0,0.0,3.8482434112514063,3.8482434112514063
151,2.55351295663786e-15,0.0,0.0,4.8054605267918555,4.799517909613215
152,nan,0.0,0.0,3.382936718640003,3.382936718640003
153,nan,0.0,0.0,3.4833283001164355,3.4833283001164355
154,3.164135620181696e-15,0.0,0.0,4.74971925085852,4.746183843739012
155,nan,0.0,0.0,3.9529783312171154,3.9529783312171154
156,nan,0.0,0.0,4.4332195623385235,4.4332195623385235
157,nan,0.0,0.0,4.381264163651072,4.381264163651072
158,nan,0.0,0.0,4.212255452142278,4.212255452142278
159,nan,0.0,0.0,3.5517385909660533,3.5517385909660533
160,2.7755575615628914e-15,0.0,0.0,4.926206277691584,4.910174895164275
161,nan,0.0,0.0,3.933523605993076,3.933523605993076
162,2.3314683517128287e-15,0.0,0.0,4.8673263795206765,4.857339781400396
163,3.1086244689504383e-15,0.0,0.0,4.833298894705412,4.821115999021044
164,nan,0.0,0.0,4.065379282166526,4.065379282166526
165,nan,0.0,0.0,4.234230550225944,4.234230550225944
166,nan,0.0,0.0,4.207883279723071,4.207883279723071
167,2.9976021664879227e-15,0.0,0.0,5.162376158070026,5.115196728783219
168,2.942091015256665e-15,0.0,0.0,4.770200825211941,4.76530155773674
169,nan,0.0,0.0,4.313778884433655,4.313778884433655
170,2.55351295663786e-15,0.0,0.0,4.78449732431821,4.778897500647855
171,3.1086244689504383e-15,0.0,0.0,5.004754422563474,4.9815474477715
172,3.2751579226442118e-15,0.0,0.0,5.0797179395364696,5.049263161700654
173,2.9976021664879227e-15,0.0,0.0,5.1393378817451705,5.100267610451678
174,nan,0.0,0.0,4.612553997594327,4.612553997594327
175,nan,0.0,0.0,4.062295181259859,4.062295181259859
176,2.7200464103316335e-15,0.0,0.0,5.133432211637147,5.095611708627056
177,nan,0.0,0.0,3.752621019226557,3.752621019226557
178,nan,0.0,0.0,4.309573146118629,4.309573146118629
179,nan,0.0,0.0,3.8254453602996557,3.8254453602996557
180,nan,0.0,0.0,3.468392575743726,3.468392575743726
181,nan,0.0,0.0,3.9663265269707244,3.9663265269707244
182,3.4416913763379853e-15,0.0,0.0,4.946724493790062,4.92266007702987
183,nan,0.0,0.0,3.5918586461379913,3.5918586461379913
184,2.886579864025407e-15,0.0,0.0,4.911877389613914,4.894035510717519
185,nan,0.0,0.0,4.5065754577414765,4.5065754577414765
186,nan,0.0,0.0,4.066833510415178,4.066833510415178
187,nan,0.0,0.0,4.478769951701192,4.478769951701192
188,nan,0.0,0.0,4.292173188833072,4.292173188833072
189,2.831068712794149e-15,0.0,0.0,5.057746980942007,5.026203916617385
190,nan,0.0,0.0,3.675815026497489,3.675815026497489
191,nan,0.0,0.0,4.607450236110146,4.607450236110146
192,nan,0.0,0.0,3.677262438300651,3.677262438300651
193,nan,0.0,0.0,4.478688969407927,4.478688969407927
194,nan,0.0,0.0,3.650478361659602,3.650478361659602
195,nan,0.0,0.0,4.351869098399508,4.351869098399508
196,2.9976021664879227e-15,0.0,0.0,5.075234637988607,5.044845225601395
197,nan,0.0,0.0,3.6001924620988937,3.6001924620988937
198,2.9976021664879227e-15,0.0,0.0,4.711388546877487,4.708377094978114
199,nan,0.0,0.0,4.029517192846148,4.029517192846148
200,nan,0.0,0.0,3.8112039830189457,3.8112039830189457
201,nan,0.0,0.0,4.532541998771337,4.532541998771337
202,nan,0.0,0.0,4.520508655182213,4.520508655182213
203,2.55351295663786e-15,0.0,0.0,4.929861773725359,4.911867520301954
204,3.3861802251067274e-15,0.0,0.0,5.115425768478609,5.074161903892037
205,nan,0.0,0.0,4.626202551857324,4.626202551857324
206,nan,0.0,0.0,4.62023997314755,4.62023997314755
207,nan,0.0,0.0,4.279955062980682,4.279955062980682
208,3.2751579226442118e-15,0.0,0.0,4.885860451502627,4.872580621832809
209,nan,0.0,0.0,4.658279814931753,4.658279814931753
210,nan,0.0,0.0,3.8814034860338977,3.8814034860338977
211,nan,0.0,0.0,4.284282217658076,4.284282217658076
212,nan,0.0,0.0,4.259796978734539,4.259796978734539
213,nan,0.0,0.0,4.5679236539091645,4.5679236539091645
214,nan,0.0,0.0,4.275933888226998,4.275933888226998
215,nan,0.0,0.0,4.467471009532835,4.467471009532835
216,5.218048215738236e-15,0.0,0.0,4.980801517618345,4.951713697803392
217,3.2751579226442118e-15,0.0,0.0,4.925233085685267,4.907634451102065
218,nan,0.0,0.0,4.17827235525914,4.17827235525914
219,2.55351295663786e-15,0.0,0.0,4.755518509618234,4.752529062901377
220,2.6645352591003757e-15,0.0,0.0,4.798891210462181,4.792395690396824
221,nan,0.0,0.0,4.12719808246927,4.12719808246927
222,nan,0.0,0.0,4.280695752731514,4.280695752731514
223,nan,0.0,0.0,4.319666701222142,4.319666701222142
224,nan,0.0,0.0,4.577141047124829,4.577141047124829
225,nan,0.0,0.0,4.394673625223827,4.394673625223827
226,nan,0.0,0.0,3.741769260919526,3.741769260919526
227,nan,0.0,0.0,4.1507651893953765,4.1507651893953765
228,3.219646771412954e-15,0.0,0.0,5.055958696576897,5.0239897845268935
229,2.886579864025407e-15,0.0,0.0,4.7411742485915,4.734766606466659
230,nan,0.0,0.0,4.177953097389984,4.177953097389984
231,nan,0.0,0.0,3.3198697423040837,3.3198697423040837
232,2.7755575615628914e-15,0.0,0.0,5.010020831725547,4.98675735720697
233,2.886579864025407e-15,0.0,0.0,4.871520133260515,4.856285544684789
234,nan,0.0,0.0,4.288887106432557,4.288887106432557
235,nan,0.0,0.0,4.284398389180777,4.284398389180777
236,nan,0.0,0.0,3.6659230472760718,3.6659230472760718
237,2.55351295663786e-15,0.0,0.0,4.86096095548823,4.848700245930642
238,nan,0.0,0.0,4.643659681095333,4.643659681095333
239,nan,0.0,0.0,4.26280774857532,4.26280774857532
