run,R,t_to_thr_base,t_recover,residual_base,residual,domain
94,,0.0,0.0,3.9465385447477135,3.9465385447477135,spacecraft
95,,0.0,0.0,4.505469670124904,4.505469670124904,spacecraft
96,,0.0,0.0,4.447721698864433,4.447721698864433,spacecraft
97,,0.0,0.0,3.9997353465113696,3.9997353465113696,spacecraft
98,,0.0,0.0,4.540848025180489,4.540848025180489,spacecraft
99,,0.0,0.0,4.470287413354131,4.470287413354131,spacecraft
100,3.552713678800501e-15,0.0,0.0,5.185515094142122,5.133521137017216,spacecraft
101,2.664535259100376e-15,0.0,0.0,4.851291763971261,4.842505349744291,spacecraft
102,,0.0,0.0,4.183169002022715,4.183169002022715,spacecraft
103,,0.0,0.0,4.374550557832503,4.374550557832503,spacecraft
104,,0.0,0.0,4.0060532794327655,4.0060532794327655,spacecraft
105,3.996802888650564e-15,0.0,0.0,5.438352951067491,5.346169670321225,spacecraft
106,,0.0,0.0,4.60131393171811,4.60131393171811,spacecraft
107,,0.0,0.0,3.831895840313333,3.831895840313333,spacecraft
108,2.886579864025407e-15,0.0,0.0,5.050708082208566,5.021741630121512,spacecraft
109,,0.0,0.0,3.832408404458276,3.832408404458276,spacecraft
110,,0.0,0.0,3.906795038757615,3.906795038757615,spacecraft
111,,0.0,0.0,4.214549593456138,4.214549593456138,spacecraft
112,,0.0,0.0,4.582425103817048,4.582425103817048,spacecraft
113,,0.0,0.0,4.056813717306974,4.056813717306974,spacecraft
114,,0.0,0.0,4.476187368680746,4.476187368680746,spacecraft
115,3.774758283725532e-15,0.0,0.0,4.89057138339167,4.873806714856725,spacecraft
116,,0.0,0.0,3.757741154115928,3.757741154115928,spacecraft
117,,0.0,0.0,4.083384164416261,4.083384164416261,spacecraft
118,,0.0,0.0,4.294197456405987,4.294197456405987,spacecraft
119,2.8310687127941488e-15,0.0,0.0,4.667669064211304,4.666783386825056,spacecraft
120,3.719247132494274e-15,0.0,0.0,4.852751872251727,4.837189552384402,spacecraft
121,,0.0,0.0,4.278742898195017,4.278742898195017,spacecraft
122,3.3306690738754696e-15,0.0,0.0,5.213340858902094,5.15784195206347,spacecraft
123,,0.0,0.0,4.541623056512655,4.541623056512655,spacecraft
124,3.0531133177191805e-15,0.0,0.0,4.760879976975232,4.754080052336953,spacecraft
125,,0.0,0.0,4.012812260693879,4.012812260693879,spacecraft
126,,0.0,0.0,4.2748125968675215,4.2748125968675215,spacecraft
127,,0.0,0.0,4.608029446868571,4.608029446868571,spacecraft
128,,0.0,0.0,4.044291091404204,4.044291091404204,spacecraft
129,,0.0,0.0,4.248315332232126,4.248315332232126,spacecraft
130,2.7755575615628917e-15,0.0,0.0,4.7011032271525774,4.698451328868356,spacecraft
131,,0.0,0.0,4.465010639809129,4.465010639809129,spacecraft
132,,0.0,0.0,4.354813133754412,4.354813133754412,spacecraft
133,3.1086244689504387e-15,0.0,0.0,5.268893385209437,5.2058678379833365,spacecraft
134,2.997602166487923e-15,0.0,0.0,5.023367939541344,4.995300961096119,spacecraft
135,2.8310687127941488e-15,0.0,0.0,4.727680430461053,4.725143417307119,spacecraft
136,,0.0,0.0,3.501338569878773,3.501338569878773,spacecraft
137,3.4416913763379853e-15,0.0,0.0,4.9073513464887215,4.891251363945085,spacecraft
138,,0.0,0.0,4.197312657008209,4.197312657008209,spacecraft
139,2.7755575615628917e-15,0.0,0.0,4.7687164808418725,4.7622683314461405,spacecraft
140,,0.0,0.0,3.921732917870399,3.921732917870399,spacecraft
141,2.886579864025407e-15,0.0,0.0,4.952097505405487,4.930227331584864,spacecraft
142,3.83026943495679e-15,0.0,0.0,4.797726164035483,4.786834431130998,spacecraft
143,,0.0,0.0,3.777807098172176,3.777807098172176,spacecraft
144,,0.0,0.0,3.9439405020905833,3.9439405020905833,spacecraft
145,,0.0,0.0,3.6300254455612815,3.6300254455612815,spacecraft
146,,0.0,0.0,3.685033027463685,3.685033027463685,spacecraft
147,,0.0,0.0,3.943808627687532,3.943808627687532,spacecraft
148,,0.0,0.0,4.548998667497033,4.548998667497033,spacecraft
149,,0.0,0.0,4.046393214308662,4.046393214308662,spacecraft
150,,0.0,0.0,3.8482434112514063,3.8482434112514063,spacecraft
151,2.55351295663786e-15,0.0,0.0,4.805460526791856,4.799517909613215,spacecraft
152,,0.0,0.0,3.382936718640003,3.382936718640003,spacecraft
153,,0.0,0.0,3.4833283001164355,3.4833283001164355,spacecraft
154,3.1641356201816957e-15,0.0,0.0,4.74971925085852,4.746183843739012,spacecraft
155,,0.0,0.0,3.9529783312171154,3.9529783312171154,spacecraft
156,,0.0,0.0,4.433219562338524,4.433219562338524,spacecraft
157,,0.0,0.0,4.381264163651072,4.381264163651072,spacecraft
158,,0.0,0.0,4.212255452142278,4.212255452142278,spacecraft
159,,0.0,0.0,3.5517385909660533,3.5517385909660533,spacecraft
160,2.7755575615628917e-15,0.0,0.0,4.926206277691584,4.910174895164275,spacecraft
161,,0.0,0.0,3.933523605993076,3.933523605993076,spacecraft
162,2.3314683517128287e-15,0.0,0.0,4.8673263795206765,4.857339781400396,spacecraft
163,3.1086244689504387e-15,0.0,0.0,4.833298894705412,4.821115999021044,spacecraft
164,,0.0,0.0,4.065379282166526,4.065379282166526,spacecraft
165,,0.0,0.0,4.234230550225944,4.234230550225944,spacecraft
166,,0.0,0.0,4.207883279723071,4.207883279723071,spacecraft
167,2.997602166487923e-15,0.0,0.0,5.162376158070026,5.115196728783219,spacecraft
168,2.942091015256665e-15,0.0,0.0,4.770200825211941,4.76530155773674,spacecraft
169,,0.0,0.0,4.313778884433655,4.313778884433655,spacecraft
170,2.55351295663786e-15,0.0,0.0,4.78449732431821,4.778897500647855,spacecraft
171,3.1086244689504387e-15,0.0,0.0,5.004754422563474,4.9815474477715,spacecraft
172,3.275157922644212e-15,0.0,0.0,5.0797179395364696,5.049263161700654,spacecraft
173,2.997602166487923e-15,0.0,0.0,5.1393378817451705,5.100267610451678,spacecraft
174,,0.0,0.0,4.612553997594327,4.612553997594327,spacecraft
175,,0.0,0.0,4.062295181259859,4.062295181259859,spacecraft
176,2.720046410331633e-15,0.0,0.0,5.133432211637147,5.095611708627056,spacecraft
177,,0.0,0.0,3.752621019226557,3.752621019226557,spacecraft
178,,0.0,0.0,4.309573146118629,4.309573146118629,spacecraft
179,,0.0,0.0,3.825445360299656,3.825445360299656,spacecraft
180,,0.0,0.0,3.468392575743726,3.468392575743726,spacecraft
181,,0.0,0.0,3.966326526970725,3.966326526970725,spacecraft
182,3.4416913763379853e-15,0.0,0.0,4.946724493790062,4.92266007702987,spacecraft
183,,0.0,0.0,3.5918586461379918,3.5918586461379918,spacecraft
184,2.886579864025407e-15,0.0,0.0,4.911877389613914,4.894035510717519,spacecraft
185,,0.0,0.0,4.5065754577414765,4.5065754577414765,spacecraft
186,,0.0,0.0,4.066833510415178,4.066833510415178,spacecraft
187,,0.0,0.0,4.478769951701192,4.478769951701192,spacecraft
188,,0.0,0.0,4.292173188833072,4.292173188833072,spacecraft
189,2.8310687127941488e-15,0.0,0.0,5.057746980942007,5.026203916617385,spacecraft
190,,0.0,0.0,3.675815026497489,3.675815026497489,spacecraft
